node1,node2
1639169,3380125
1639169,1904884
1639169,2983812
1639169,803165
1639169,3535218
1639169,1677446
1639169,3080830
1639169,2256190
1639169,2168448
1639169,2337170
1639169,3307154
1639169,3474059
1639169,515777
1639169,1873619
1639169,2568069
1639169,963042
1639169,2634975
1639169,2741664
1639169,1782354
1639169,1143543
1639169,2528148
1100867,3294178
1100867,2637324
1100867,529896
1100867,486579
1100867,983170
1100867,3202064
1304454,859441
1304454,1651333
1304454,2332397
1304454,3296786
1304454,667577
1304454,3572421
1304454,2900949
1304454,431849
1304454,2828000
1304454,3570271
1304454,4132916
1304454,3460119
1304454,1372527
1304454,3213246
1304454,2169669
1304454,3154316
1304454,3905599
1304454,1920782
1304454,2298404
1304454,3609850
1304454,2574794
1304454,2308498
1304454,3450897
3535218,3380125
3535218,1904884
3535218,2983812
3535218,1639169
3535218,803165
3535218,1677446
3535218,3080830
3535218,2256190
3535218,2168448
3535218,2337170
3535218,3307154
3535218,3474059
3535218,515777
3535218,1873619
3535218,2568069
3535218,963042
3535218,2634975
3535218,2741664
3535218,1782354
3535218,1143543
3535218,2528148
1677446,3380125
1677446,1904884
1677446,2983812
1677446,1639169
1677446,803165
1677446,3535218
1677446,3080830
1677446,2256190
1677446,2168448
1677446,2337170
1677446,3307154
1677446,3474059
1677446,515777
1677446,1873619
1677446,2568069
1677446,963042
1677446,1974646
1677446,2634975
1677446,2741664
1677446,1782354
1677446,1143543
1677446,2528148
465839,3294178
465839,562715
465839,2637324
465839,1286975
465839,3684303
465839,3397609
465839,529896
465839,2318666
465839,2197902
465839,807014
465839,486579
465839,404040
465839,1418199
465839,983170
465839,3956127
465839,3202064
465839,3644607
465839,3140722
2169669,859441
2169669,1651333
2169669,2332397
2169669,3296786
2169669,667577
2169669,3572421
2169669,2900949
2169669,431849
2169669,2828000
2169669,3570271
2169669,4132916
2169669,1304454
2169669,3460119
2169669,1372527
2169669,3213246
2169669,3154316
2169669,3905599
2169669,1920782
2169669,2298404
2169669,3609850
2169669,2574794
2169669,2308498
2169669,3450897
3154316,859441
3154316,1651333
3154316,2332397
3154316,3296786
3154316,667577
3154316,3572421
3154316,2900949
3154316,431849
3154316,2828000
3154316,3570271
3154316,4132916
3154316,1304454
3154316,3460119
3154316,1372527
3154316,3213246
3154316,2169669
3154316,3905599
3154316,1920782
3154316,2298404
3154316,3609850
3154316,2574794
3154316,2308498
3154316,3450897
2736525,3866857
3841597,2177839
3841597,3738921
3841597,4184965
3841597,896840
3841597,1100572
3841597,2242503
3841597,2444711
3841597,2954977
2523239,4021325
1873619,3380125
1873619,1904884
1873619,2983812
1873619,1639169
1873619,803165
1873619,3535218
1873619,1677446
1873619,3080830
1873619,2256190
1873619,2168448
1873619,2337170
1873619,3307154
1873619,3474059
1873619,515777
1873619,2568069
1873619,963042
1873619,2634975
1873619,2741664
1873619,1782354
1873619,1143543
1873619,2528148
3373068,3738921
3373068,3114413
3373068,377387
3373068,3866857
3373068,4184965
3373068,2079856
3373068,1262713
3373068,3197190
3373068,567662
3373068,4021325
3373068,2242503
3373068,1000886
3373068,2444711
3373068,2954977
2298404,859441
2298404,1651333
2298404,2332397
2298404,3296786
2298404,667577
2298404,3572421
2298404,2900949
2298404,431849
2298404,2828000
2298404,3570271
2298404,4132916
2298404,1304454
2298404,3460119
2298404,1372527
2298404,3213246
2298404,2169669
2298404,3154316
2298404,3905599
2298404,1920782
2298404,3609850
2298404,2574794
2298404,2308498
2298404,3450897
3609850,859441
3609850,1651333
3609850,2332397
3609850,3296786
3609850,667577
3609850,3572421
3609850,2900949
3609850,431849
3609850,2828000
3609850,3570271
3609850,4132916
3609850,1304454
3609850,3460119
3609850,1372527
3609850,3213246
3609850,2169669
3609850,3154316
3609850,3905599
3609850,1920782
3609850,2298404
3609850,2574794
3609850,2308498
3609850,3450897
2284837,834598
1974646,1677446
1904884,3380125
1904884,2983812
