node,Louvain,size
1504269,328000000,250
1504269,328000000,250
983170,328000000,250
983170,328000000,250
2637324,328000000,250
2637324,328000000,250
2284837,328000000,250
2284837,328000000,250
3294178,328000000,250
3294178,328000000,250
1286975,328000000,250
1286975,328000000,250
3684303,328000000,250
3684303,328000000,250
1100867,328000000,250
1100867,328000000,250
562715,328000000,250
562715,328000000,250
465839,328000000,250
465839,328000000,250
1418199,328000000,250
1418199,328000000,250
3140722,328000000,250
3140722,328000000,250
834598,328000000,250
834598,328000000,250
3397609,328000000,250
3397609,328000000,250
529896,328000000,250
529896,328000000,250
2318666,328000000,250
2318666,328000000,250
2197902,328000000,250
2197902,328000000,250
807014,328000000,250
807014,328000000,250
486579,328000000,250
486579,328000000,250
404040,328000000,250
404040,328000000,250
3089178,328000000,250
3089178,328000000,250
3956127,328000000,250
3956127,328000000,250
3202064,328000000,250
3202064,328000000,250
3644607,328000000,250
3644607,328000000,250
328869,328000000,250
328869,328000000,250
1974646,336000000,230
1974646,336000000,230
3307154,336000000,230
3307154,336000000,230
3474059,336000000,230
3474059,336000000,230
3380125,336000000,230
3380125,336000000,230
803165,336000000,230
803165,336000000,230
2168448,336000000,230
2168448,336000000,230
515777,336000000,230
515777,336000000,230
1873619,336000000,230
1873619,336000000,230
2634975,336000000,230
2634975,336000000,230
2741664,336000000,230
2741664,336000000,230
1782354,336000000,230
1782354,336000000,230
1143543,336000000,230
1143543,336000000,230
2337170,336000000,230
2337170,336000000,230
1904884,336000000,230
1904884,336000000,230
2983812,336000000,230
2983812,336000000,230
1639169,336000000,230
1639169,336000000,230
3535218,336000000,230
3535218,336000000,230
1677446,336000000,230
1677446,336000000,230
3080830,336000000,230
3080830,336000000,230
2568069,336000000,230
2568069,336000000,230
963042,336000000,230
963042,336000000,230
2256190,336000000,230
2256190,336000000,230
2528148,336000000,230
2528148,336000000,230
3373068,344000000,220
3373068,344000000,220
896840,344000000,220
896840,344000000,220
377387,344000000,220
377387,344000000,220
3866857,344000000,220
3866857,344000000,220
3197190,344000000,220
3197190,344000000,220
4021325,344000000,220
4021325,344000000,220
1100572,344000000,220
1100572,344000000,220
567662,344000000,220
567662,344000000,220
2177839,344000000,220
2177839,344000000,220
3738921,344000000,220
3738921,344000000,220
2743755,344000000,220
2743755,344000000,220
3114413,344000000,220
3114413,344000000,220
4184965,344000000,220
4184965,344000000,220
2079856,344000000,220
2079856,344000000,220
1262713,344000000,220
1262713,344000000,220
3841597,344000000,220
3841597,344000000,220
2523239,344000000,220
2523239,344000000,220
2736525,344000000,220
2736525,344000000,220
2242503,344000000,220
2242503,344000000,220
1000886,344000000,220
1000886,344000000,220
2444711,344000000,220
2444711,344000000,220
2954977,344000000,220
2954977,344000000,220
2813622,352000000,210
2813622,352000000,210
3424823,352000000,210
3424823,352000000,210
4222885,352000000,210
4222885,352000000,210
3892154,352000000,210
3892154,352000000,210
3222995,352000000,210
3222995,352000000,210
29625,352000000,210
29625,352000000,210
1367218,352000000,210
1367218,352000000,210
2429175,352000000,210
2429175,352000000,210
186118,352000000,210
186118,352000000,210
1843945,352000000,210
1843945,352000000,210
2285578,352000000,210
2285578,352000000,210
2001572,352000000,210
2001572,352000000,210
1437053,352000000,210
1437053,352000000,210
4144154,352000000,210
4144154,352000000,210
998516,352000000,210
998516,352000000,210
241121,352000000,210
241121,352000000,210
1535154,352000000,210
1535154,352000000,210
3441728,352000000,210
3441728,352000000,210
719905,352000000,210
719905,352000000,210
604755,352000000,210
604755,352000000,210
2398788,352000000,210
2398788,352000000,210
3008692,360000000,190
3008692,360000000,190
6162,360000000,190
6162,360000000,190
2872856,360000000,190
2872856,360000000,190
2639594,360000000,190
2639594,360000000,190
2164781,360000000,190
2164781,360000000,190
605708,360000000,190
605708,360000000,190
254395,360000000,190
254395,360000000,190
1824650,360000000,190
1824650,360000000,190
2517625,360000000,190
2517625,360000000,190
3199607,360000000,190
3199607,360000000,190
1760039,360000000,190
1760039,360000000,190
446760,360000000,190
446760,360000000,190
2108833,360000000,190
2108833,360000000,190
1179641,360000000,190
1179641,360000000,190
1227636,360000000,190
1227636,360000000,190
1977084,360000000,190
1977084,360000000,190
3658091,360000000,190
3658091,360000000,190
1778587,360000000,190
1778587,360000000,190
3424760,360000000,190
3424760,360000000,190
346585,368000000,190
346585,368000000,190
621864,368000000,190
621864,368000000,190
2875478,368000000,190
2875478,368000000,190
383687,368000000,190
383687,368000000,190
2635978,368000000,190
2635978,368000000,190
3948413,368000000,190
3948413,368000000,190
101551,368000000,190
101551,368000000,190
601123,368000000,190
601123,368000000,190
797661,368000000,190
797661,368000000,190
3378893,368000000,190
3378893,368000000,190
286012,368000000,190
286012,368000000,190
3943102,368000000,190
3943102,368000000,190
200827,368000000,190
200827,368000000,190
294916,368000000,190
294916,368000000,190
1010847,368000000,190
1010847,368000000,190
168755,368000000,190
168755,368000000,190
257951,368000000,190
257951,368000000,190
96992,368000000,190
96992,368000000,190
1425279,368000000,190
1425279,368000000,190
2169669,376000000,240
2169669,376000000,240
3154316,376000000,240
3154316,376000000,240
2298404,376000000,240
2298404,376000000,240
3609850,376000000,240
3609850,376000000,240
2574794,376000000,240
2574794,376000000,240
2308498,376000000,240
2308498,376000000,240
3450897,376000000,240
3450897,376000000,240
2332397,376000000,240
2332397,376000000,240
667577,376000000,240
667577,376000000,240
859441,376000000,240
859441,376000000,240
1651333,376000000,240
1651333,376000000,240
1304454,376000000,240
1304454,376000000,240
3213246,376000000,240
3213246,376000000,240
3905599,376000000,240
3905599,376000000,240
1920782,376000000,240
1920782,376000000,240
3572421,376000000,240
3572421,376000000,240
2900949,376000000,240
2900949,376000000,240
3460119,376000000,240
3460119,376000000,240
1372527,376000000,240
1372527,376000000,240
