node1,node2,size
1504269,3089178,250
834598,3294178,250
834598,529896,250
834598,486579,250
834598,2284837,250
834598,983170,250
834598,3202064,250
983170,3294178,250
983170,834598,250
983170,562715,250
983170,2637324,250
983170,1100867,250
983170,1286975,250
983170,3684303,250
983170,3397609,250
983170,529896,250
983170,2318666,250
983170,465839,250
983170,2197902,250
983170,807014,250
983170,486579,250
983170,404040,250
983170,1418199,250
983170,3956127,250
983170,3202064,250
983170,3644607,250
983170,3140722,250
328869,807014,250
328869,3140722,250
562715,529896,250
562715,465839,250
562715,807014,250
562715,404040,250
562715,1418199,250
562715,983170,250
562715,3956127,250
562715,3202064,250
1100867,3294178,250
1100867,2637324,250
1100867,529896,250
1100867,486579,250
1100867,983170,250
1100867,3202064,250
465839,3294178,250
465839,562715,250
465839,2637324,250
465839,1286975,250
465839,3684303,250
465839,3397609,250
465839,529896,250
465839,2318666,250
465839,2197902,250
465839,807014,250
465839,486579,250
465839,404040,250
465839,1418199,250
465839,983170,250
465839,3956127,250
465839,3202064,250
465839,3644607,250
465839,3140722,250
2284837,834598,250
3294178,834598,250
3294178,2637324,250
3294178,1100867,250
3294178,1286975,250
3294178,3684303,250
3294178,3397609,250
3294178,529896,250
3294178,2318666,250
3294178,465839,250
3294178,2197902,250
3294178,807014,250
3294178,486579,250
3294178,404040,250
3294178,1418199,250
3294178,983170,250
3294178,3089178,250
3294178,3956127,250
3294178,3202064,250
3294178,3644607,250
3294178,3140722,250
3397609,3294178,250
3397609,2637324,250
3397609,1286975,250
3397609,529896,250
3397609,465839,250
3397609,807014,250
3397609,486579,250
3397609,404040,250
3397609,1418199,250
3397609,983170,250
3397609,3956127,250
3397609,3202064,250
529896,3294178,250
529896,834598,250
529896,562715,250
529896,2637324,250
529896,1100867,250
529896,1286975,250
529896,3684303,250
529896,3397609,250
529896,2318666,250
529896,465839,250
529896,2197902,250
529896,807014,250
529896,486579,250
529896,404040,250
529896,1418199,250
529896,983170,250
529896,3089178,250
529896,3956127,250
529896,3202064,250
529896,3644607,250
529896,3140722,250
2318666,3294178,250
2318666,2637324,250
2318666,1286975,250
2318666,3684303,250
2318666,529896,250
2318666,465839,250
2318666,807014,250
2318666,486579,250
2318666,404040,250
2318666,983170,250
2318666,3956127,250
2318666,3202064,250
2318666,3140722,250
2197902,3294178,250
2197902,2637324,250
2197902,1286975,250
2197902,529896,250
2197902,465839,250
2197902,807014,250
2197902,486579,250
2197902,404040,250
2197902,1418199,250
2197902,983170,250
2197902,3956127,250
2197902,3202064,250
2197902,3644607,250
2197902,3140722,250
807014,3294178,250
807014,562715,250
807014,2637324,250
807014,1286975,250
807014,3684303,250
807014,3397609,250
807014,529896,250
807014,2318666,250
807014,465839,250
807014,2197902,250
807014,486579,250
807014,404040,250
807014,1418199,250
807014,983170,250
807014,3956127,250
807014,3202064,250
807014,3644607,250
807014,3140722,250
807014,328869,250
486579,3294178,250
486579,834598,250
486579,2637324,250
486579,1100867,250
486579,1286975,250
486579,3684303,250
486579,3397609,250
486579,529896,250
486579,2318666,250
486579,465839,250
486579,2197902,250
486579,807014,250
486579,404040,250
486579,1418199,250
486579,983170,250
486579,3089178,250
486579,3956127,250
486579,3202064,250
486579,3644607,250
486579,3140722,250
404040,3294178,250
404040,562715,250
404040,2637324,250
404040,1286975,250
404040,3684303,250
404040,3397609,250
404040,529896,250
404040,2318666,250
404040,465839,250
404040,2197902,250
404040,807014,250
404040,486579,250
404040,1418199,250
404040,983170,250
404040,3956127,250
404040,3202064,250
404040,3644607,250
404040,3140722,250
1418199,3294178,250
1418199,562715,250
1418199,2637324,250
1418199,1286975,250
1418199,3397609,250
1418199,529896,250
1418199,465839,250
1418199,2197902,250
1418199,807014,250
1418199,486579,250
1418199,404040,250
1418199,983170,250
1418199,3956127,250
1418199,3202064,250
1418199,3644607,250
1418199,3140722,250
3140722,3294178,250
3140722,2637324,250
3140722,1286975,250
3140722,3684303,250
3140722,529896,250
3140722,2318666,250
3140722,465839,250
3140722,2197902,250
3140722,807014,250
3140722,486579,250
3140722,404040,250
3140722,1418199,250
3140722,983170,250
3140722,3956127,250
3140722,3202064,250
3140722,3644607,250
3140722,328869,250
2637324,3294178,250
2637324,1100867,250
2637324,1286975,250
2637324,3684303,250
2637324,3397609,250
2637324,529896,250
2637324,2318666,250
2637324,465839,250
2637324,2197902,250
2637324,807014,250
2637324,486579,250
2637324,404040,250
2637324,1418199,250
2637324,983170,250
2637324,3956127,250
2637324,3202064,250
2637324,3644607,250
2637324,3140722,250
1286975,3294178,250
1286975,2637324,250
1286975,3684303,250
1286975,3397609,250
1286975,529896,250
1286975,2318666,250
1286975,465839,250
1286975,2197902,250
1286975,807014,250
1286975,486579,250
1286975,404040,250
1286975,1418199,250
1286975,983170,250
1286975,3956127,250
1286975,3202064,250
1286975,3644607,250
1286975,3140722,250
3684303,3294178,250
3684303,2637324,250
3684303,1286975,250
3684303,529896,250
3684303,2318666,250
3684303,465839,250
3684303,807014,250
3684303,486579,250
3684303,404040,250
3684303,983170,250
3684303,3956127,250
3684303,3202064,250
3684303,3140722,250
3089178,3294178,250
3089178,529896,250
3089178,1504269,250
3089178,486579,250
3089178,3202064,250
3956127,3294178,250
3956127,562715,250
3956127,2637324,250
3956127,1286975,250
3956127,3684303,250
3956127,3397609,250
3956127,529896,250
3956127,2318666,250
3956127,465839,250
3956127,2197902,250
3956127,807014,250
3956127,486579,250
3956127,404040,250
3956127,1418199,250
3956127,983170,250
3956127,3202064,250
3956127,3644607,250
3956127,3140722,250
3202064,3294178,250
3202064,834598,250
3202064,562715,250
3202064,2637324,250
3202064,1100867,250
3202064,1286975,250
3202064,3684303,250
3202064,3397609,250
3202064,529896,250
3202064,2318666,250
3202064,465839,250
3202064,2197902,250
3202064,807014,250
3202064,486579,250
3202064,404040,250
3202064,1418199,250
3202064,983170,250
3202064,3089178,250
3202064,3956127,250
3202064,3644607,250
3202064,3140722,250
3644607,3294178,250
3644607,2637324,250
3644607,1286975,250
3644607,529896,250
3644607,465839,250
3644607,2197902,250
3644607,807014,250
3644607,486579,250
3644607,404040,250
3644607,1418199,250
3644607,983170,250
3644607,3956127,250
3644607,3202064,250
3644607,3140722,250
1262713,3738921,220
1262713,3114413,220
1262713,377387,220
1262713,3866857,220
1262713,4184965,220
1262713,2079856,220
1262713,3197190,220
1262713,567662,220
1262713,4021325,220
1262713,2242503,220
1262713,3373068,220
1262713,1000886,220
1262713,2444711,220
1262713,2954977,220
2736525,3866857,220
3841597,2177839,220
3841597,3738921,220
3841597,4184965,220
3841597,896840,220
3841597,1100572,220
3841597,2242503,220
3841597,2444711,220
3841597,2954977,220
2523239,4021325,220
3373068,3738921,220
3373068,3114413,220
3373068,377387,220
3373068,3866857,220
3373068,4184965,220
3373068,2079856,220
3373068,1262713,220
3373068,3197190,220
3373068,567662,220
3373068,4021325,220
3373068,2242503,220
3373068,1000886,220
3373068,2444711,220
3373068,2954977,220
2177839,3738921,220
2177839,4184965,220
2177839,896840,220
2177839,1100572,220
2177839,3841597,220
2177839,2242503,220
2177839,2444711,220
2177839,2954977,220
4184965,2177839,220
4184965,3738921,220
4184965,2743755,220
4184965,3114413,220
4184965,377387,220
4184965,3866857,220
4184965,2079856,220
4184965,1262713,220
4184965,3197190,220
4184965,896840,220
4184965,4021325,220
4184965,1100572,220
4184965,3841597,220
4184965,2242503,220
4184965,3373068,220
4184965,1000886,220
4184965,2444711,220
4184965,2954977,220
2079856,3738921,220
2079856,2743755,220
2079856,3114413,220
2079856,377387,220
2079856,3866857,220
2079856,4184965,220
2079856,1262713,220
2079856,3197190,220
2079856,4021325,220
2079856,2242503,220
2079856,3373068,220
2079856,1000886,220
2079856,2444711,220
2079856,2954977,220
567662,3114413,220
567662,377387,220
567662,3866857,220
567662,1262713,220
567662,3197190,220
567662,3373068,220
1000886,3738921,220
1000886,3114413,220
1000886,377387,220
1000886,3866857,220
1000886,4184965,220
1000886,2079856,220
1000886,1262713,220
1000886,3197190,220
1000886,4021325,220
1000886,2242503,220
1000886,3373068,220
1000886,2444711,220
1000886,2954977,220
2444711,2177839,220
2444711,3738921,220
2444711,2743755,220
2444711,3114413,220
2444711,377387,220
2444711,3866857,220
2444711,4184965,220
2444711,2079856,220
2444711,1262713,220
2444711,3197190,220
2444711,896840,220
2444711,4021325,220
2444711,1100572,220
2444711,3841597,220
2444711,2242503,220
2444711,3373068,220
2444711,1000886,220
2444711,2954977,220
4021325,3738921,220
4021325,3114413,220
4021325,377387,220
4021325,3866857,220
4021325,4184965,220
4021325,2079856,220
4021325,1262713,220
4021325,3197190,220
4021325,2523239,220
4021325,2242503,220
4021325,3373068,220
4021325,1000886,220
4021325,2444711,220
4021325,2954977,220
1100572,2177839,220
1100572,3738921,220
1100572,4184965,220
1100572,896840,220
1100572,3841597,220
1100572,2242503,220
1100572,2444711,220
1100572,2954977,220
2242503,2177839,220
2242503,3738921,220
2242503,2743755,220
2242503,3114413,220
2242503,377387,220
2242503,3866857,220
2242503,4184965,220
2242503,2079856,220
2242503,1262713,220
2242503,3197190,220
2242503,896840,220
2242503,4021325,220
2242503,1100572,220
2242503,3841597,220
2242503,3373068,220
2242503,1000886,220
2242503,2444711,220
2242503,2954977,220
3197190,3738921,220
3197190,3114413,220
3197190,377387,220
3197190,3866857,220
3197190,4184965,220
3197190,2079856,220
3197190,1262713,220
3197190,567662,220
3197190,4021325,220
3197190,2242503,220
3197190,3373068,220
3197190,1000886,220
3197190,2444711,220
3197190,2954977,220
896840,2177839,220
896840,3738921,220
896840,4184965,220
896840,1100572,220
896840,3841597,220
896840,2242503,220
896840,2444711,220
896840,2954977,220
2954977,2177839,220
2954977,3738921,220
2954977,2743755,220
2954977,3114413,220
2954977,377387,220
2954977,3866857,220
2954977,4184965,220
2954977,2079856,220
2954977,1262713,220
2954977,3197190,220
2954977,896840,220
2954977,4021325,220
2954977,1100572,220
2954977,3841597,220
2954977,2242503,220
2954977,3373068,220
2954977,1000886,220
2954977,2444711,220
3738921,2177839,220
3738921,2743755,220
3738921,3114413,220
3738921,377387,220
3738921,3866857,220
3738921,4184965,220
3738921,2079856,220
3738921,1262713,220
3738921,3197190,220
3738921,896840,220
3738921,4021325,220
3738921,1100572,220
3738921,3841597,220
3738921,2242503,220
3738921,3373068,220
3738921,1000886,220
3738921,2444711,220
3738921,2954977,220
2743755,3738921,220
2743755,4184965,220
2743755,2079856,220
2743755,2242503,220
2743755,2444711,220
2743755,2954977,220
3114413,3738921,220
3114413,377387,220
3114413,3866857,220
3114413,4184965,220
3114413,2079856,220
3114413,1262713,220
3114413,3197190,220
3114413,567662,220
3114413,4021325,220
3114413,2242503,220
3114413,3373068,220
3114413,1000886,220
3114413,2444711,220
3114413,2954977,220
377387,3738921,220
377387,3114413,220
377387,3866857,220
377387,4184965,220
377387,2079856,220
377387,1262713,220
377387,3197190,220
377387,567662,220
377387,4021325,220
377387,2242503,220
377387,3373068,220
377387,1000886,220
377387,2444711,220
377387,2954977,220
3866857,3738921,220
3866857,3114413,220
3866857,377387,220
3866857,4184965,220
3866857,2079856,220
3866857,1262713,220
3866857,3197190,220
3866857,2736525,220
3866857,567662,220
3866857,4021325,220
3866857,2242503,220
3866857,3373068,220
3866857,1000886,220
3866857,2444711,220
3866857,2954977,220
998516,29625,210
998516,1367218,210
998516,4144154,210
998516,2429175,210
998516,4222885,210
998516,3892154,210
998516,3222995,210
998516,719905,210
998516,604755,210
998516,186118,210
998516,1843945,210
998516,2398788,210
998516,2813622,210
998516,3424823,210
998516,241121,210
998516,2285578,210
998516,1535154,210
998516,2001572,210
998516,1437053,210
998516,3441728,210
3424823,29625,210
3424823,1367218,210
3424823,4144154,210
3424823,2429175,210
3424823,4222885,210
3424823,3892154,210
3424823,3222995,210
3424823,719905,210
3424823,604755,210
3424823,998516,210
3424823,186118,210
3424823,1843945,210
3424823,2398788,210
3424823,2813622,210
3424823,241121,210
3424823,2285578,210
3424823,1535154,210
3424823,2001572,210
3424823,1437053,210
3424823,3441728,210
2001572,29625,210
2001572,1367218,210
2001572,4144154,210
2001572,2429175,210
2001572,4222885,210
2001572,3892154,210
2001572,3222995,210
2001572,719905,210
2001572,604755,210
2001572,998516,210
2001572,186118,210
2001572,1843945,210
2001572,2398788,210
2001572,2813622,210
2001572,3424823,210
2001572,241121,210
2001572,2285578,210
2001572,1535154,210
2001572,1437053,210
2001572,3441728,210
29625,1367218,210
29625,4144154,210
29625,2429175,210
29625,4222885,210
29625,3892154,210
29625,3222995,210
29625,719905,210
29625,604755,210
29625,998516,210
29625,186118,210
29625,1843945,210
29625,2398788,210
29625,2813622,210
29625,3424823,210
29625,241121,210
29625,2285578,210
29625,1535154,210
29625,2001572,210
29625,1437053,210
29625,3441728,210
1367218,29625,210
1367218,4144154,210
1367218,2429175,210
1367218,4222885,210
