node1,node2
859441,1651333
859441,2829430
859441,2455582
859441,2332397
859441,1791688
859441,1629087
859441,3296786
859441,3164615
859441,2206677
859441,667577
859441,819160
859441,2900949
859441,1248453
859441,1476083
859441,3572421
859441,3570271
859441,431849
859441,4132916
859441,2828000
859441,3039518
859441,1181187
859441,1304454
859441,1372527
859441,4033752
859441,3460119
859441,2768974
859441,2377661
859441,3062929
859441,3056130
859441,3213246
859441,3852958
859441,3154316
859441,2169669
859441,4039701
859441,2107492
859441,3756727
859441,3905599
859441,3481055
859441,3649542
859441,2351418
859441,4218679
859441,4005643
859441,1920782
859441,498078
859441,1487948
859441,2298404
859441,3609850
859441,2161681
859441,2932657
859441,772083
859441,2574794
859441,1993208
859441,3377736
859441,1756030
859441,3833566
859441,3798811
859441,2599891
859441,2308498
859441,2916560
859441,1445581
859441,703049
859441,2646380
859441,3450897
859441,3107911
1651333,859441
1651333,2829430
1651333,2455582
1651333,2332397
1651333,1791688
1651333,1629087
1651333,3296786
1651333,3164615
1651333,2206677
1651333,667577
1651333,819160
1651333,2900949
1651333,1248453
1651333,1476083
1651333,3572421
1651333,3570271
1651333,431849
1651333,4132916
1651333,2828000
1651333,3039518
1651333,1181187
1651333,1304454
1651333,1372527
1651333,4033752
1651333,3460119
1651333,2768974
1651333,2377661
1651333,3062929
1651333,3056130
1651333,3213246
1651333,3852958
1651333,3154316
1651333,2169669
1651333,4039701
1651333,2107492
1651333,3756727
1651333,3905599
1651333,3481055
1651333,3649542
1651333,2351418
1651333,4218679
1651333,4005643
1651333,1920782
1651333,498078
1651333,1487948
1651333,2298404
1651333,3609850
1651333,2161681
1651333,2932657
1651333,772083
1651333,2574794
1651333,1993208
1651333,3377736
1651333,1756030
1651333,3833566
1651333,3798811
1651333,2599891
1651333,2308498
1651333,2916560
1651333,1445581
1651333,703049
1651333,2646380
1651333,3450897
1651333,3107911
562715,3131114
562715,460767
562715,2853657
562715,2202692
562715,416378
562715,1044894
562715,2410089
562715,3930533
562715,2134915
562715,968604
562715,529896
562715,465839
562715,797553
562715,404040
562715,807014
562715,3184737
562715,1029019
562715,1418199
562715,1561419
562715,667473
562715,1977514
562715,983170
562715,3956127
562715,3202064
562715,2538744
562715,830588
667577,859441
667577,1651333
667577,2829430
667577,2455582
667577,2332397
667577,1791688
667577,1629087
667577,3296786
667577,3164615
667577,2206677
667577,819160
667577,2900949
667577,1248453
667577,1476083
667577,3572421
667577,3570271
667577,431849
667577,4132916
667577,2828000
667577,3039518
667577,1181187
667577,1304454
667577,1372527
667577,4033752
667577,3460119
667577,2768974
667577,2377661
667577,3062929
667577,3056130
667577,3213246
667577,3852958
667577,3154316
667577,2169669
667577,4039701
667577,2107492
667577,3756727
667577,3905599
667577,3481055
667577,2720911
667577,3649542
667577,2351418
667577,4218679
667577,4005643
667577,1920782
667577,498078
667577,1487948
667577,2298404
667577,3609850
667577,2161681
667577,2932657
667577,772083
667577,2574794
667577,1993208
667577,3377736
667577,1756030
667577,3833566
667577,3798811
667577,2599891
667577,2308498
667577,2916560
667577,1445581
667577,703049
667577,2646380
667577,3450897
667577,3107911
3380125,3710919
3380125,2901813
3380125,2926739
3380125,1533572
3380125,1011917
3380125,3380947
3380125,2983812
3380125,1446857
3380125,1904884
3380125,281167
3380125,2936094
