node1,node2,size
834598,3294178,250
834598,529896,250
834598,486579,250
834598,2284837,250
834598,983170,250
834598,3202064,250
1286975,3294178,250
1286975,2637324,250
1286975,3684303,250
1286975,3397609,250
1286975,529896,250
1286975,2318666,250
1286975,465839,250
1286975,2197902,250
1286975,807014,250
1286975,486579,250
1286975,404040,250
1286975,1418199,250
1286975,983170,250
1286975,3956127,250
1286975,3202064,250
1286975,3644607,250
1286975,3140722,250
3684303,3294178,250
3684303,2637324,250
3684303,1286975,250
3684303,529896,250
3684303,2318666,250
3684303,465839,250
3684303,807014,250
3684303,486579,250
3684303,404040,250
3684303,983170,250
3684303,3956127,250
3684303,3202064,250
3684303,3140722,250
2197902,3294178,250
2197902,2637324,250
2197902,1286975,250
2197902,529896,250
2197902,465839,250
2197902,807014,250
2197902,486579,250
2197902,404040,250
2197902,1418199,250
2197902,983170,250
2197902,3956127,250
2197902,3202064,250
2197902,3644607,250
2197902,3140722,250
807014,3294178,250
807014,562715,250
807014,2637324,250
807014,1286975,250
807014,3684303,250
807014,3397609,250
807014,529896,250
807014,2318666,250
807014,465839,250
807014,2197902,250
807014,486579,250
807014,404040,250
807014,1418199,250
807014,983170,250
807014,3956127,250
807014,3202064,250
807014,3644607,250
807014,3140722,250
807014,328869,250
486579,3294178,250
486579,834598,250
486579,2637324,250
486579,1100867,250
486579,1286975,250
486579,3684303,250
486579,3397609,250
486579,529896,250
486579,2318666,250
486579,465839,250
486579,2197902,250
486579,807014,250
486579,404040,250
486579,1418199,250
486579,983170,250
486579,3089178,250
486579,3956127,250
486579,3202064,250
486579,3644607,250
486579,3140722,250
404040,3294178,250
404040,562715,250
404040,2637324,250
404040,1286975,250
404040,3684303,250
404040,3397609,250
404040,529896,250
404040,2318666,250
404040,465839,250
404040,2197902,250
404040,807014,250
404040,486579,250
404040,1418199,250
404040,983170,250
404040,3956127,250
404040,3202064,250
404040,3644607,250
404040,3140722,250
2284837,834598,250
1504269,3089178,250
328869,807014,250
328869,3140722,250
3294178,834598,250
3294178,2637324,250
3294178,1100867,250
3294178,1286975,250
3294178,3684303,250
3294178,3397609,250
3294178,529896,250
3294178,2318666,250
3294178,465839,250
3294178,2197902,250
3294178,807014,250
3294178,486579,250
3294178,404040,250
3294178,1418199,250
3294178,983170,250
3294178,3089178,250
3294178,3956127,250
3294178,3202064,250
3294178,3644607,250
3294178,3140722,250
562715,529896,250
562715,465839,250
562715,807014,250
562715,404040,250
562715,1418199,250
562715,983170,250
562715,3956127,250
562715,3202064,250
1100867,3294178,250
1100867,2637324,250
1100867,529896,250
1100867,486579,250
1100867,983170,250
1100867,3202064,250
3397609,3294178,250
3397609,2637324,250
3397609,1286975,250
3397609,529896,250
3397609,465839,250
3397609,807014,250
3397609,486579,250
3397609,404040,250
3397609,1418199,250
3397609,983170,250
3397609,3956127,250
3397609,3202064,250
529896,3294178,250
529896,834598,250
529896,562715,250
529896,2637324,250
529896,1100867,250
529896,1286975,250
529896,3684303,250
529896,3397609,250
529896,2318666,250
529896,465839,250
529896,2197902,250
529896,807014,250
529896,486579,250
529896,404040,250
529896,1418199,250
529896,983170,250
529896,3089178,250
529896,3956127,250
529896,3202064,250
529896,3644607,250
529896,3140722,250
2318666,3294178,250
2318666,2637324,250
2318666,1286975,250
2318666,3684303,250
2318666,529896,250
2318666,465839,250
2318666,807014,250
2318666,486579,250
2318666,404040,250
2318666,983170,250
2318666,3956127,250
2318666,3202064,250
2318666,3140722,250
983170,3294178,250
983170,834598,250
983170,562715,250
983170,2637324,250
983170,1100867,250
983170,1286975,250
983170,3684303,250
983170,3397609,250
983170,529896,250
983170,2318666,250
983170,465839,250
983170,2197902,250
983170,807014,250
983170,486579,250
983170,404040,250
983170,1418199,250
983170,3956127,250
983170,3202064,250
983170,3644607,250
983170,3140722,250
465839,3294178,250
465839,562715,250
465839,2637324,250
465839,1286975,250
465839,3684303,250
465839,3397609,250
465839,529896,250
465839,2318666,250
465839,2197902,250
465839,807014,250
465839,486579,250
465839,404040,250
465839,1418199,250
465839,983170,250
465839,3956127,250
465839,3202064,250
465839,3644607,250
465839,3140722,250
1418199,3294178,250
1418199,562715,250
1418199,2637324,250
1418199,1286975,250
1418199,3397609,250
1418199,529896,250
1418199,465839,250
1418199,2197902,250
1418199,807014,250
1418199,486579,250
1418199,404040,250
1418199,983170,250
1418199,3956127,250
1418199,3202064,250
1418199,3644607,250
1418199,3140722,250
3140722,3294178,250
3140722,2637324,250
3140722,1286975,250
3140722,3684303,250
3140722,529896,250
3140722,2318666,250
3140722,465839,250
3140722,2197902,250
3140722,807014,250
3140722,486579,250
3140722,404040,250
3140722,1418199,250
3140722,983170,250
3140722,3956127,250
3140722,3202064,250
3140722,3644607,250
3140722,328869,250
2637324,3294178,250
2637324,1100867,250
2637324,1286975,250
2637324,3684303,250
2637324,3397609,250
2637324,529896,250
2637324,2318666,250
2637324,465839,250
2637324,2197902,250
2637324,807014,250
2637324,486579,250
2637324,404040,250
2637324,1418199,250
2637324,983170,250
2637324,3956127,250
2637324,3202064,250
2637324,3644607,250
2637324,3140722,250
3089178,3294178,250
3089178,529896,250
3089178,1504269,250
3089178,486579,250
3089178,3202064,250
3956127,3294178,250
3956127,562715,250
3956127,2637324,250
3956127,1286975,250
3956127,3684303,250
3956127,3397609,250
3956127,529896,250
3956127,2318666,250
3956127,465839,250
3956127,2197902,250
3956127,807014,250
3956127,486579,250
3956127,404040,250
3956127,1418199,250
3956127,983170,250
3956127,3202064,250
3956127,3644607,250
3956127,3140722,250
3202064,3294178,250
3202064,834598,250
3202064,562715,250
3202064,2637324,250
3202064,1100867,250
3202064,1286975,250
3202064,3684303,250
3202064,3397609,250
3202064,529896,250
3202064,2318666,250
3202064,465839,250
3202064,2197902,250
3202064,807014,250
3202064,486579,250
3202064,404040,250
3202064,1418199,250
3202064,983170,250
3202064,3089178,250
3202064,3956127,250
3202064,3644607,250
3202064,3140722,250
3644607,3294178,250
3644607,2637324,250
3644607,1286975,250
3644607,529896,250
3644607,465839,250
3644607,2197902,250
3644607,807014,250
3644607,486579,250
3644607,404040,250
3644607,1418199,250
3644607,983170,250
3644607,3956127,250
3644607,3202064,250
3644607,3140722,250
803165,3380125,230
803165,1904884,230
803165,2983812,230
803165,1639169,230
803165,3535218,230
803165,1677446,230
803165,3080830,230
803165,2256190,230
803165,2168448,230
803165,2337170,230
803165,3307154,230
803165,3474059,230
803165,515777,230
803165,1873619,230
803165,2568069,230
803165,963042,230
803165,2634975,230
803165,2741664,230
803165,1782354,230
803165,1143543,230
803165,2528148,230
2256190,3380125,230
2256190,1904884,230
2256190,2983812,230
2256190,1639169,230
2256190,803165,230
2256190,3535218,230
2256190,1677446,230
2256190,3080830,230
2256190,2168448,230
2256190,2337170,230
2256190,3307154,230
2256190,3474059,230
2256190,515777,230
2256190,1873619,230
2256190,2568069,230
2256190,963042,230
2256190,2634975,230
2256190,2741664,230
2256190,1782354,230
2256190,1143543,230
2256190,2528148,230
2634975,3380125,230
2634975,1904884,230
2634975,2983812,230
2634975,1639169,230
2634975,803165,230
2634975,3535218,230
2634975,1677446,230
2634975,3080830,230
2634975,2256190,230
2634975,2168448,230
2634975,2337170,230
2634975,3307154,230
2634975,3474059,230
2634975,515777,230
2634975,1873619,230
2634975,2568069,230
2634975,963042,230
2634975,2741664,230
2634975,1782354,230
2634975,1143543,230
2634975,2528148,230
3080830,3380125,230
3080830,1904884,230
3080830,2983812,230
3080830,1639169,230
3080830,803165,230
3080830,3535218,230
3080830,1677446,230
3080830,2256190,230
3080830,2168448,230
3080830,2337170,230
3080830,3307154,230
3080830,3474059,230
3080830,515777,230
3080830,1873619,230
3080830,2568069,230
3080830,963042,230
3080830,2634975,230
3080830,2741664,230
3080830,1782354,230
3080830,1143543,230
3080830,2528148,230
2337170,3380125,230
2337170,1904884,230
2337170,2983812,230
2337170,1639169,230
2337170,803165,230
2337170,3535218,230
2337170,1677446,230
2337170,3080830,230
2337170,2256190,230
2337170,2168448,230
2337170,3307154,230
2337170,3474059,230
2337170,515777,230
2337170,1873619,230
2337170,2568069,230
2337170,963042,230
2337170,2634975,230
2337170,2741664,230
2337170,1782354,230
2337170,1143543,230
2337170,2528148,230
1873619,3380125,230
1873619,1904884,230
1873619,2983812,230
1873619,1639169,230
1873619,803165,230
1873619,3535218,230
1873619,1677446,230
1873619,3080830,230
1873619,2256190,230
1873619,2168448,230
1873619,2337170,230
1873619,3307154,230
1873619,3474059,230
1873619,515777,230
1873619,2568069,230
1873619,963042,230
1873619,2634975,230
1873619,2741664,230
1873619,1782354,230
1873619,1143543,230
1873619,2528148,230
2528148,3380125,230
2528148,1904884,230
2528148,2983812,230
2528148,1639169,230
2528148,803165,230
2528148,3535218,230
2528148,1677446,230
2528148,3080830,230
2528148,2256190,230
2528148,2168448,230
2528148,2337170,230
2528148,3307154,230
2528148,3474059,230
2528148,515777,230
2528148,1873619,230
2528148,2568069,230
2528148,963042,230
2528148,2634975,230
2528148,2741664,230
2528148,1782354,230
2528148,1143543,230
3380125,1904884,230
3380125,2983812,230
3380125,1639169,230
3380125,803165,230
3380125,3535218,230
3380125,1677446,230
3380125,3080830,230
3380125,2256190,230
3380125,2168448,230
3380125,2337170,230
3380125,3307154,230
3380125,3474059,230
3380125,515777,230
3380125,1873619,230
3380125,2568069,230
3380125,963042,230
3380125,2634975,230
3380125,2741664,230
3380125,1782354,230
3380125,1143543,230
3380125,2528148,230
1639169,3380125,230
1639169,1904884,230
1639169,2983812,230
1639169,803165,230
1639169,3535218,230
1639169,1677446,230
1639169,3080830,230
1639169,2256190,230
1639169,2168448,230
1639169,2337170,230
1639169,3307154,230
1639169,3474059,230
1639169,515777,230
1639169,1873619,230
1639169,2568069,230
1639169,963042,230
1639169,2634975,230
1639169,2741664,230
1639169,1782354,230
1639169,1143543,230
1639169,2528148,230
3535218,3380125,230
3535218,1904884,230
3535218,2983812,230
3535218,1639169,230
3535218,803165,230
3535218,1677446,230
3535218,3080830,230
3535218,2256190,230
3535218,2168448,230
3535218,2337170,230
3535218,3307154,230
3535218,3474059,230
3535218,515777,230
3535218,1873619,230
3535218,2568069,230
3535218,963042,230
3535218,2634975,230
3535218,2741664,230
3535218,1782354,230
3535218,1143543,230
3535218,2528148,230
1677446,3380125,230
1677446,1904884,230
1677446,2983812,230
1677446,1639169,230
1677446,803165,230
1677446,3535218,230
1677446,3080830,230
1677446,2256190,230
1677446,2168448,230
1677446,2337170,230
1677446,3307154,230
1677446,3474059,230
1677446,515777,230
1677446,1873619,230
1677446,2568069,230
1677446,963042,230
1677446,1974646,230
1677446,2634975,230
1677446,2741664,230
1677446,1782354,230
1677446,1143543,230
1677446,2528148,230
2168448,3380125,230
2168448,1904884,230
2168448,2983812,230
2168448,1639169,230
2168448,803165,230
2168448,3535218,230
2168448,1677446,230
2168448,3080830,230
2168448,2256190,230
2168448,2337170,230
2168448,3307154,230
2168448,3474059,230
2168448,515777,230
2168448,1873619,230
2168448,2568069,230
2168448,963042,230
2168448,2634975,230
2168448,2741664,230
2168448,1782354,230
2168448,1143543,230
2168448,2528148,230
3307154,3380125,230
3307154,1904884,230
3307154,2983812,230
3307154,1639169,230
3307154,803165,230
3307154,3535218,230
3307154,1677446,230
3307154,3080830,230
3307154,2256190,230
3307154,2168448,230
3307154,2337170,230
3307154,3474059,230
3307154,515777,230
3307154,1873619,230
3307154,2568069,230
3307154,963042,230
3307154,2634975,230
3307154,2741664,230
3307154,1782354,230
3307154,1143543,230
3307154,2528148,230
3474059,3380125,230
3474059,1904884,230
3474059,2983812,230
3474059,1639169,230
3474059,803165,230
3474059,3535218,230
3474059,1677446,230
3474059,3080830,230
3474059,2256190,230
3474059,2168448,230
3474059,2337170,230
3474059,3307154,230
3474059,515777,230
3474059,1873619,230
3474059,2568069,230
3474059,963042,230
3474059,2634975,230
3474059,2741664,230
3474059,1782354,230
3474059,1143543,230
3474059,2528148,230
963042,3380125,230
963042,1904884,230
963042,2983812,230
963042,1639169,230
963042,803165,230
963042,3535218,230
963042,1677446,230
963042,3080830,230
963042,2256190,230
963042,2168448,230
963042,2337170,230
963042,3307154,230
963042,3474059,230
963042,515777,230
963042,1873619,230
963042,2568069,230
963042,2634975,230
963042,2741664,230
963042,1782354,230
963042,1143543,230
963042,2528148,230
1974646,1677446,230
1904884,3380125,230
1904884,2983812,230
1904884,1639169,230
1904884,803165,230
1904884,3535218,230
1904884,1677446,230
1904884,3080830,230
1904884,2256190,230
1904884,2168448,230
1904884,2337170,230
1904884,3307154,230
1904884,3474059,230
1904884,515777,230
1904884,1873619,230
1904884,2568069,230
1904884,963042,230
1904884,2634975,230
1904884,2741664,230
1904884,1782354,230
1904884,1143543,230
1904884,2528148,230
2983812,3380125,230
2983812,1904884,230
2983812,1639169,230
2983812,803165,230
2983812,3535218,230
2983812,1677446,230
2983812,3080830,230
2983812,2256190,230
2983812,2168448,230
2983812,2337170,230
2983812,3307154,230
2983812,3474059,230
