node,Louvain,size
465839,328000000,250
465839,328000000,250
328869,328000000,250
328869,328000000,250
3294178,328000000,250
3294178,328000000,250
2637324,328000000,250
2637324,328000000,250
834598,328000000,250
834598,328000000,250
3397609,328000000,250
3397609,328000000,250
529896,328000000,250
529896,328000000,250
2318666,328000000,250
2318666,328000000,250
983170,328000000,250
983170,328000000,250
3089178,328000000,250
3089178,328000000,250
3956127,328000000,250
3956127,328000000,250
3202064,328000000,250
3202064,328000000,250
3644607,328000000,250
3644607,328000000,250
1286975,328000000,250
1286975,328000000,250
3684303,328000000,250
3684303,328000000,250
1504269,328000000,250
1504269,328000000,250
2284837,328000000,250
2284837,328000000,250
3140722,328000000,250
3140722,328000000,250
562715,328000000,250
562715,328000000,250
1418199,328000000,250
1418199,328000000,250
1100867,328000000,250
1100867,328000000,250
2197902,328000000,250
2197902,328000000,250
807014,328000000,250
807014,328000000,250
486579,328000000,250
486579,328000000,250
404040,328000000,250
404040,328000000,250
3841597,336000000,220
3841597,336000000,220
2523239,336000000,220
2523239,336000000,220
4184965,336000000,220
4184965,336000000,220
2079856,336000000,220
2079856,336000000,220
3373068,336000000,220
3373068,336000000,220
2954977,336000000,220
2954977,336000000,220
2736525,336000000,220
2736525,336000000,220
896840,336000000,220
896840,336000000,220
2242503,336000000,220
2242503,336000000,220
2177839,336000000,220
2177839,336000000,220
377387,336000000,220
377387,336000000,220
3866857,336000000,220
3866857,336000000,220
1262713,336000000,220
1262713,336000000,220
567662,336000000,220
567662,336000000,220
3738921,336000000,220
3738921,336000000,220
2743755,336000000,220
2743755,336000000,220
3114413,336000000,220
3114413,336000000,220
4021325,336000000,220
4021325,336000000,220
1100572,336000000,220
1100572,336000000,220
3197190,336000000,220
3197190,336000000,220
1000886,336000000,220
1000886,336000000,220
2444711,336000000,220
2444711,336000000,220
4144154,344000000,210
4144154,344000000,210
2429175,344000000,210
2429175,344000000,210
4222885,344000000,210
4222885,344000000,210
3892154,344000000,210
3892154,344000000,210
3222995,344000000,210
3222995,344000000,210
186118,344000000,210
186118,344000000,210
1843945,344000000,210
1843945,344000000,210
2001572,344000000,210
2001572,344000000,210
3441728,344000000,210
3441728,344000000,210
29625,344000000,210
29625,344000000,210
1367218,344000000,210
1367218,344000000,210
719905,344000000,210
719905,344000000,210
998516,344000000,210
998516,344000000,210
2398788,344000000,210
2398788,344000000,210
2813622,344000000,210
2813622,344000000,210
3424823,344000000,210
3424823,344000000,210
241121,344000000,210
241121,344000000,210
604755,344000000,210
604755,344000000,210
1535154,344000000,210
1535154,344000000,210
2285578,344000000,210
2285578,344000000,210
1437053,344000000,210
1437053,344000000,210
2120198,352000000,200
2120198,352000000,200
3783737,352000000,200
3783737,352000000,200
2476077,352000000,200
2476077,352000000,200
3226930,352000000,200
3226930,352000000,200
1074688,352000000,200
1074688,352000000,200
3431959,352000000,200
3431959,352000000,200
3614076,352000000,200
3614076,352000000,200
2272743,352000000,200
2272743,352000000,200
2652682,352000000,200
2652682,352000000,200
3661661,352000000,200
3661661,352000000,200
2859748,352000000,200
2859748,352000000,200
3209101,352000000,200
3209101,352000000,200
2521618,352000000,200
2521618,352000000,200
2102397,352000000,200
2102397,352000000,200
4192625,352000000,200
4192625,352000000,200
4192852,352000000,200
4192852,352000000,200
3774597,352000000,200
3774597,352000000,200
2551697,352000000,200
2551697,352000000,200
3024069,352000000,200
3024069,352000000,200
3655642,352000000,200
3655642,352000000,200
1224985,360000000,180
1224985,360000000,180
1324672,360000000,180
