node,Louvain,size
1209417,350273908,4
2668927,389080905,4
2736525,363968060,22
2736525,363968060,22
3852958,309461832,5
385301,346051932,3
605104,354443963,4
4099624,363872715,8
1969409,352438267,11
2732318,350241933,6
548668,308322198,2
2265531,327218239,8
1424687,391174741,1
3154316,391219704,24
3154316,391219704,24
465839,363883150,25
465839,363883150,25
2169669,391219704,24
2169669,391219704,24
4199636,356541389,3
1351047,392299087,13
3253061,352404976,3
2161681,339758024,5
19432,392293039,8
3588594,348216906,3
1017237,362860339,10
2189280,303066538,1
818307,332400750,4
3132367,338757709,6
1677652,384927016,8
3594614,391228649,10
2932657,340884657,1
3383607,401720751,3
772083,362822460,7
983170,363883150,25
983170,363883150,25
2568069,401686965,23
2568069,401686965,23
3204752,359673730,3
1990795,338757709,6
3798811,348256087,2
48970,392216895,4
1893602,327261000,9
530784,294708418,6
2334261,308305807,5
2714917,359770696,7
2599891,308354093,2
3655512,346043215,1
2974678,401632957,4
24070,294776639,2
1974646,401686965,23
1974646,401686965,23
1546600,308287044,1
543915,349189339,1
1033512,352439777,5
1944248,356547977,8
3905599,391219704,24
3905599,391219704,24
567662,363968060,22
567662,363968060,22
811735,335643994,1
1434925,389118604,4
353433,384848150,6
2829231,350250683,5
3866397,340824616,1
311195,309330024,7
2426047,347198478,8
1551379,294713690,3
3706882,309435601,6
1155300,335638396,2
3248474,350264218,1
1455559,363900844,5
3481055,345019162,6
640940,363911515,2
761958,354446410,6
859441,391219704,24
859441,391219704,24
1040537,340845821,7
3710919,359677604,8
3624866,356580628,11
1651333,391219704,24
1651333,391219704,24
2829430,332435424,5
2177839,363968060,22
2177839,363968060,22
2524576,353428378,4
2681286,362860339,10
2455582,389143343,1
1313442,308386647,6
2747215,294666697,6
887403,332516294,6
1533572,346034267,6
1791688,344015765,1
3179391,364966639,4
1154810,340915532,1
1629087,349183124,5
2700695,363916778,7
3296786,391219704,24
3296786,391219704,24
1011917,362930769,2
917181,339856352,9
3164615,344008951,1
834598,363883150,25
834598,363883150,25
2206677,389145772,1
491736,345011898,2
555394,345046068,1
1044894,343943919,3
3157321,346139077,2
1100867,363883150,25
1100867,363883150,25
818396,294679268,2
2410089,391220049,8
400259,308338132,4
4005108,363966481,4
3833526,364924828,1
1607549,348240679,3
1639169,401686965,23
1639169,401686965,23
3039518,363862737,6
1673735,332400750,4
1181187,392223787,3
1803850,352323612,4
1304454,391219704,24
1304454,391219704,24
1475619,352438267,11
3897992,347177589,7
3794173,350263083,1
1205597,401645035,7
2134915,348250828,6
4047690,401649993,4
3472723,389131561,1
2256190,401686965,23
2256190,401686965,23
3071355,391157142,9
968604,363986522,3
1102474,392214822,4
2416521,364940793,1
797553,303058067,1
738485,350275099,4
2720911,391156148,6
404040,363883150,25
404040,363883150,25
1634859,389033256,1
4021325,363968060,22
4021325,363968060,22
1047607,332489387,2
1816897,337725360,1
2197902,363883150,25
2197902,363883150,25
2147895,343967229,3
807014,363883150,25
807014,363883150,25
3649542,294725426,3
3850607,343943919,3
3351179,347123804,8
1100572,363968060,22
1100572,363968060,22
1299956,392267991,4
3366629,308305807,5
486579,363883150,25
486579,363883150,25
1178861,391233622,7
1672471,365009652,8
3896312,391162440,2
1920782,391219704,24
1920782,391219704,24
3212758,354469994,8
3307154,401686965,23
3307154,401686965,23
2033232,363915938,7
2804043,338721638,3
154918,308410814,10
3420892,333463842,6
607795,333516801,11
3474059,401686965,23
3474059,401686965,23
2328848,347189403,6
1535387,348148177,3
3868127,363904191,4
1077629,353495177,7
3873263,344029230,1
3291896,337741660,5
498078,303049293,2
1418199,363883150,25
1418199,363883150,25
2675596,347108505,3
2164779,339820194,2
1321535,347179055,8
1003621,364957865,4
515777,401686965,23
515777,401686965,23
1561419,362860339,10
4169790,348147763,6
3914050,294658139,7
1487948,364987811,1
2272303,356518621,7
3395894,337653416,6
3555128,349283141,5
2457078,340869569,2
2341291,349285077,1
2168939,340851991,5
3125319,338771063,2
963042,401686965,23
963042,401686965,23
1711324,333495022,4
2444711,363968060,22
2444711,363968060,22
3644607,363883150,25
3644607,363883150,25
3781289,346158434,4
589245,294666697,6
1327754,347103382,10
3305984,340810470,3
1799248,384830828,7
353148,308410814,10
2459110,391210242,7
2574794,391219704,24
2574794,391219704,24
2527876,337642260,1
1993208,364987937,7
2275138,363878454,8
1000886,363968060,22
1000886,363968060,22
3956127,363883150,25
3956127,363883150,25
3202064,363883150,25
3202064,363883150,25
3089178,363883150,25
3089178,363883150,25
2741664,401686965,23
2741664,401686965,23
3111551,401645035,7
419951,350292650,9
1782354,401686965,23
1782354,401686965,23
147933,356525183,1
4040866,308410814,10
3283291,391162440,2
300839,308410814,10
2488418,348208063,5
1143543,401686965,23
1143543,401686965,23
603359,348256270,1
1786447,401639220,3
2543812,294659008,3
2993669,391246298,3
2318666,363883150,25
2318666,363883150,25
146207,401655104,2
3397609,363883150,25
3397609,363883150,25
161503,353377201,1
2329122,363980620,9
1064093,294739015,7
529896,363883150,25
529896,363883150,25
3056130,348231395,5
3213246,391219704,24
3213246,391219704,24
920332,401683069,4
2168448,401686965,23
2168448,401686965,23
2482478,349225130,5
4008610,362909000,10
565884,350304731,2
1253415,389025029,5
3891456,344992482,1
2463803,338720963,7
1833014,308285150,3
2159115,309360748,6
3451270,333529981,9
2353578,346158434,4
3570271,391219704,24
3570271,391219704,24
1245930,359770696,7
1621142,392199890,5
2780600,354537104,4
431849,391219704,24
431849,391219704,24
4064801,347123804,8
2083249,337645527,8
3573311,362818958,4
3010801,359763578,4
2637324,363883150,25
2637324,363883150,25
4132916,391219704,24
4132916,391219704,24
1010065,353384226,1
1262713,363968060,22
1262713,363968060,22
1009627,384951076,2
2828000,391219704,24
2828000,391219704,24
4202283,391210886,2
1150279,348150165,1
4191711,359788267,12
1254894,389146867,2
3395256,392198996,13
1210927,333568333,1
2345747,345087767,1
990775,353443174,8
3377736,401673648,2
1073998,359720581,3
2313537,345062941,5
1756030,349265677,4
3833566,348137776,1
3140722,363883150,25
3140722,363883150,25
350207,359716486,8
4207489,392198996,13
1014673,309374748,1
1016,346149457,3
3903747,359788267,12
4143893,364977830,5
4145961,401717586,4
397248,362860339,10
1292855,347080103,9
1992606,332399538,6
3492008,401636323,8
703049,335669642,5
2646380,345019162,6
3450897,391219704,24
3450897,391219704,24
186706,309368378,4
1270709,384943561,6
830588,401666503,4
387410,347123804,8
719510,401720751,3
819160,303126063,12
2900949,391219704,24
2900949,391219704,24
138628,363930658,7
1753164,347123804,8
2983812,401686965,23
2983812,401686965,23
1248453,339778659,5
1446857,364916817,3
1770089,347123804,8
2079856,363968060,22
2079856,363968060,22
1904884,401686965,23
1904884,401686965,23
1695217,294683836,4
2915889,340800859,4
863456,332509531,8
281167,327266384,1
4184965,363968060,22
4184965,363968060,22
416378,346030280,7
1476083,401696809,5
3572421,391219704,24
3572421,391219704,24
2940310,363975990,12
2936094,365013956,8
1022581,353489183,2
2354775,343955771,3
3684303,363883150,25
3684303,363883150,25
3236192,338750513,11
3997144,364912014,2
1454001,343992205,4
764319,349185642,5
3080830,401686965,23
3080830,401686965,23
1286975,363883150,25
1286975,363883150,25
470428,338720963,7
1066501,401717586,4
2768974,339798558,1
1375132,363963885,1
2377661,392223787,3
162203,384952378,6
3062929,308357417,1
581125,364993553,2
3805558,391157142,9
1796352,391204606,3
1716887,389134224,1
2523239,363968060,22
2523239,363968060,22
3675044,303050090,3
1641499,354429635,2
2351418,349201614,4
4218679,349265677,4
2462930,347123804,8
2532396,391135831,3
1278658,338739025,6
3182319,347178298,2
1978168,354513046,9
2382749,353404028,6
3948447,303145927,6
1608939,338720963,7
3841597,363968060,22
3841597,363968060,22
959706,332436471,4
2308498,391219704,24
2308498,391219704,24
3039318,348255474,2
962769,392175170,4
1443970,346079337,1
328869,363883150,25
328869,363883150,25
411345,348139199,10
